what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290141951525
closed,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1290141951540
closed,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1290141951553
closed,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1290141951564
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290141956015
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290141958575
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290141962900
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290142002078
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1290142004233
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,com.adobe.flexbuilder.packageexplorer,1290142008109
opened,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1290142014813
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1290142014903
executed,command,,,AUTOGEN:::com.adobe.flexbuilder.debug.ui.actionScriptRulerActions/com.adobe.flexbuilder.debug.ui.actionScriptDoubleClickBreakpointAction,1290142022755
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290142034786
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290142054816
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290142058801
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290142071887
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,com.adobe.flexbuilder.packageexplorer,1290142071910
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1290142076472
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1290142099990
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1290142112786
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,com.adobe.flexbuilder.packageexplorer,1290142118969
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1290142124378
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,com.adobe.flexbuilder.packageexplorer,1290142140009
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290142145457
