what,kind,bundleId,bundleVersion,description,time
started,bundle,com.adobe.flexbuilder.services.StaticContentService,4.0.1.277662,com.adobe.flexbuilder.services.StaticContentService,1290145286534
started,bundle,com.adobe.flexbuilder.services.WEBService,4.0.1.277662,com.adobe.flexbuilder.services.WEBService,1290145286544
started,bundle,com.adobe.flexbuilder.axis2,4.0.1.277662,com.adobe.flexbuilder.axis2,1290145286573
started,bundle,com.adobe.flexbuilder.DCDService,4.0.1.277662,com.adobe.flexbuilder.DCDService,1290145286597
opened,view,com.adobe.flexbuilder.dcrad,4.0.1.277662,com.adobe.flexbuilder.dcrad.views.DataServicesView,1290145286672
activated,view,com.adobe.flexbuilder.dcrad,4.0.1.277662,com.adobe.flexbuilder.dcrad.views.DataServicesView,1290145286696
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,com.adobe.flexbuilder.as.editor.asdocviewer,1290145289169
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1290145291334
activated,view,com.adobe.flexbuilder.monitors.network,4.0.1.277662,com.adobe.flexbuilder.monitors.network.view.NetworkMonitorView,1290145304804
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290145312776
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290145313091
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290145318346
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290145336487
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1290145336507
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,com.adobe.flexbuilder.as.editor.asdocviewer,1290145341288
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1290145351606
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290145364698
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290145390460
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,com.adobe.flexbuilder.packageexplorer,1290145390472
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1290145390695
executed,command,com.adobe.flexbuilder.launching.ui,4.0.1.277662,com.adobe.flexbuilder.apollo.debug.apolloLaunchShortcut.debug,1290145395527
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1290145397970
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290145398465
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290145408181
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1290145408201
