what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158152423
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290158212964
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158225276
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158260841
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290158263569
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1290158270367
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290158271572
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290158274488
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1290158277390
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158280939
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158282478
executed,command,com.adobe.flexbuilder.launching.ui,4.0.1.277662,com.adobe.flexbuilder.apollo.debug.apolloLaunchShortcut.debug,1290158282481
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158284659
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158300943
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1290158300956
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158308233
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158312311
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1290158312453
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1290158318778
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1290158325862
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1290158332824
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1290158333001
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1290158333139
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1290158333296
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1290158333422
