what,kind,bundleId,bundleVersion,description,time
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1290158696589
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1290158700066
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290158700771
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290158732679
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290158741224
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158755990
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158760883
executed,command,com.adobe.flexbuilder.launching.ui,4.0.1.277662,com.adobe.flexbuilder.apollo.debug.apolloLaunchShortcut.debug,1290158760886
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158760988
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158762368
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158764642
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158795719
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1290158795732
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1290158797279
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290158814625
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158817491
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158821082
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158823242
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158825527
executed,command,com.adobe.flexbuilder.launching.ui,4.0.1.277662,com.adobe.flexbuilder.apollo.debug.apolloLaunchShortcut.debug,1290158825530
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158827708
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158840177
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158855642
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158892685
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1290158893596
