what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290157817444
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290157818501
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290157869626
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290157904431
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290157905261
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290157917708
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290157974327
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290157976825
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290157985697
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1290157993146
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1290157993308
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1290157993470
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1290157993623
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290157997644
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290158040914
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1290158042645
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1290158044628
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290158052136
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290158058457
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158075619
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158076519
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290158086395
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290158098880
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290158144249
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290158147742
