what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290159457393
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1290159482668
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290159487551
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290159494920
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290159496926
executed,command,com.adobe.flexbuilder.launching.ui,4.0.1.277662,com.adobe.flexbuilder.apollo.debug.apolloLaunchShortcut.debug,1290159496930
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290159496952
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290159497756
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290159500182
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290159531861
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1290159556067
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1290159560522
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290159569066
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290159571570
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290159572691
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290159574301
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290159578256
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290159579513
executed,command,com.adobe.flexbuilder.launching.ui,4.0.1.277662,com.adobe.flexbuilder.apollo.debug.apolloLaunchShortcut.debug,1290159579516
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290159581709
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1290159587325
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1290159587338
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1290159608359
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1290159612226
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1290159612830
